Removed Pin From Net: NetName=GND Pin=D3-A
Removed Pin From Net: NetName=SC_End Pin=D3-K
Removed Pin From Net: NetName=TS_On Pin=Q801-D
Removed Pin From Net: NetName=Precharge_State Pin=U101-2
Removed Pin From Net: NetName=AIR+_State Pin=U101-4
Removed Pin From Net: NetName=HV_Accumulator Pin=U101-5
Removed Pin From Net: NetName=+12 Pin=U101-9
Removed Pin From Net: NetName=+12 Pin=U101-10
Removed Pin From Net: NetName=Safe_State Pin=U101-12
Removed Pin From Net: NetName=TSAL_Green Pin=U101-13
Removed Pin From Net: NetName=AIR+_Implausibility Pin=U201-1
Removed Pin From Net: NetName=AIR-_Implausibility Pin=U201-2
Removed Pin From Net: NetName=No_Voltage_Relays_Closed Pin=U201-4
Removed Pin From Net: NetName=SCS_Error Pin=U201-5
Removed Pin From Net: NetName=Implausibilities_Undelayed Pin=U201-6
Removed Pin From Net: NetName=Precharge_Implausibility Pin=U201-8
Removed Pin From Net: NetName=Relays_State_Detection Pin=U201-9
Removed Pin From Net: NetName=AIR+_State Pin=U501-9
Removed Pin From Net: NetName=GND Pin=X1-3
Removed Pin From Net: NetName=SC_End Pin=X1-4
Removed Member From Class: ClassName=TSAL_Control Member=D3
Removed Member From Class: ClassName=Relay Implausibility Member=U201
Removed Member From Class: ClassName=TSAL_Control Member=X1
Change Component Footprint: Designator=F1 Old Footprint=0805 New Footprint=0805
Change Component Footprint: Designator=R710 Old Footprint=0805 New Footprint=0805
Change Component Footprint: Designator=R712 Old Footprint=0805 New Footprint=0805
Change Component Footprint: Designator=U201 Old Footprint=D0014A_N New Footprint=D0014A_N
Change Component Footprint: Designator=U101 Old Footprint=D0014A_N New Footprint=D0014A_N
Change Component Footprint: Designator=F2 Old Footprint=Fuse_485001 New Footprint=Fuse_485001
Change Component Footprint: Designator=F3 Old Footprint=Fuse_485001 New Footprint=Fuse_485001
Change Component Footprint: Designator=F4 Old Footprint=Fuse_485001 New Footprint=Fuse_485001
Change Component Comment : Designator=C1 Old Comment=C10u-35V-ElectrolyticCap New Comment=C10u-35V-Electrolytic
Change Component Comment : Designator=U201 Old Comment=CD4075BM New Comment=CD4072BM
Change Component Comment : Designator=U101 Old Comment=CD4082BM New Comment=CD4073BM
Change Component Designator: OldDesignator=P? NewDesignator=J701
Change Managed Component Library Link : Designator=C1 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=7b089684-64c3-4406-90d8-6202ca3eb8f7 New ItemGUID=7b089684-64c3-4406-90d8-6202ca3eb8f7 Old RevisionGUID=7eb61ce2-8f2d-4c5a-94c5-20c0c6108034 New RevisionGUID=b1e4f312-2129-43f8-96a4-596cc5f92cc9
Change Managed Component Library Link : Designator=D2 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=FF5FB92C-CE75-4BB6-A218-66FE0275029C New ItemGUID=FF5FB92C-CE75-4BB6-A218-66FE0275029C Old RevisionGUID=C074397D-E58D-48DB-AC37-10CC54FE8BFC New RevisionGUID=e1ba243f-b832-422e-aaf4-978a64388305
Change Managed Component Library Link : Designator=F1 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=837e59ef-2af3-48bc-b80f-7b72809f4ae5 New ItemGUID=837e59ef-2af3-48bc-b80f-7b72809f4ae5 Old RevisionGUID=1a3c629a-8362-4e96-8631-7339e9ac17d1 New RevisionGUID=CC8216F0-8298-4621-B234-544E5472990D
Change Managed Component Library Link : Designator=F2 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=6C73A966-D33F-4463-A128-22908A4CFBDB New ItemGUID=6C73A966-D33F-4463-A128-22908A4CFBDB Old RevisionGUID=E4DD7C86-DA6E-4794-A78D-73306988A3A2 New RevisionGUID=a38f6c3f-e0d6-414a-bca8-cf00661bfd93
Change Managed Component Library Link : Designator=F3 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=6C73A966-D33F-4463-A128-22908A4CFBDB New ItemGUID=6C73A966-D33F-4463-A128-22908A4CFBDB Old RevisionGUID=E4DD7C86-DA6E-4794-A78D-73306988A3A2 New RevisionGUID=a38f6c3f-e0d6-414a-bca8-cf00661bfd93
Change Managed Component Library Link : Designator=F4 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=6C73A966-D33F-4463-A128-22908A4CFBDB New ItemGUID=6C73A966-D33F-4463-A128-22908A4CFBDB Old RevisionGUID=E4DD7C86-DA6E-4794-A78D-73306988A3A2 New RevisionGUID=a38f6c3f-e0d6-414a-bca8-cf00661bfd93
Change Managed Component Library Link : Designator=J1 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=FD6AA71D-08EF-4281-9C59-73E883C1E64C New ItemGUID=FD6AA71D-08EF-4281-9C59-73E883C1E64C Old RevisionGUID=d9f62b27-ff15-4952-8a0b-025410b549c0 New RevisionGUID=3dcc9de2-b092-46c8-9e34-599fc23a1e1d
Change Managed Component Library Link : Designator=R203 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 New ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 Old RevisionGUID=f17535a9-600e-4f8b-9977-1fd1228466f8 New RevisionGUID=21465f6c-42a6-420f-bcf6-3c05630dceb6
Change Managed Component Library Link : Designator=R703 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 New ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 Old RevisionGUID=B07189ED-0092-4749-BD9A-3A33C1C15406 New RevisionGUID=21465f6c-42a6-420f-bcf6-3c05630dceb6
Change Managed Component Library Link : Designator=R705 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 New ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 Old RevisionGUID=B07189ED-0092-4749-BD9A-3A33C1C15406 New RevisionGUID=21465f6c-42a6-420f-bcf6-3c05630dceb6
Change Managed Component Library Link : Designator=R706 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 New ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 Old RevisionGUID=B07189ED-0092-4749-BD9A-3A33C1C15406 New RevisionGUID=21465f6c-42a6-420f-bcf6-3c05630dceb6
Change Managed Component Library Link : Designator=R707 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 New ItemGUID=9C02F802-6075-41EE-9F79-3D45D370A0E6 Old RevisionGUID=B07189ED-0092-4749-BD9A-3A33C1C15406 New RevisionGUID=21465f6c-42a6-420f-bcf6-3c05630dceb6
Change Managed Component Library Link : Designator=R710 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=b2a0a9a8-2f29-4bde-a7f1-f8afc898d22b New ItemGUID=b2a0a9a8-2f29-4bde-a7f1-f8afc898d22b Old RevisionGUID=89786bd4-7321-47e7-8d37-0a3bb65f089a New RevisionGUID=260073B8-E94A-476F-95AB-6D6E0379048B
Change Managed Component Library Link : Designator=R712 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=b2a0a9a8-2f29-4bde-a7f1-f8afc898d22b New ItemGUID=b2a0a9a8-2f29-4bde-a7f1-f8afc898d22b Old RevisionGUID=89786bd4-7321-47e7-8d37-0a3bb65f089a New RevisionGUID=260073B8-E94A-476F-95AB-6D6E0379048B
Change Managed Component Library Link : Designator=U101 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=f7a5a47b-af20-4cff-8635-b3e67989570d New ItemGUID=e666be7e-4f5c-414a-8a9b-92eaf90f5a16 Old RevisionGUID=a3af79eb-0744-439b-8578-279212feccc5 New RevisionGUID=5657cbd3-e739-4f3f-ac89-6a13015e7771
Change Managed Component Library Link : Designator=U201 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=b888be62-c81c-4e5a-ab47-3f2feb59390d New ItemGUID=c7812b1b-1cae-4ce1-83f9-53419d2a4344 Old RevisionGUID=61b8bf4d-71e7-46cd-95e6-f0c5593cf685 New RevisionGUID=ddfe0dbc-f95c-4f79-9be6-c6c5a7d2ab95
Change component parameters: Designator = "D2" ("D2"); Footprint = "DSC-SOD123"; UniqueID = "\PILTTKXB" ("\PILTTKXB")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Approvals"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Average Rectified Current"; Value = "500mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Body Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Diode"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Where buy it"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/30479/0900766b810e2512-30479401.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/30479/0900766b810e2512-30479401.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/34301/974753-34301826.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/34301/974753-34301826.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/910/mbr0530-910516.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/910/mbr0530-910516.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/25931/mbr0530-25931989.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/25931/mbr0530-25931989.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/8300/mbr0530-8300905.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/8300/mbr0530-8300905.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/17318/mbr0530-17318568.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/17318/mbr0530-17318568.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9Description"; Value = "https://datasheet.ciiva.com/15144/getdatasheetpartid-86760-15144598.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9URL"; Value = "https://datasheet.ciiva.com/15144/getdatasheetpartid-86760-15144598.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10Description"; Value = "https://datasheet.ciiva.com/910/mbr0530-910518.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10URL"; Value = "https://datasheet.ciiva.com/910/mbr0530-910518.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin,Matte"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "500mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Cold Resistance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Current"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "DSC-0.5/30-SOD123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "500mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "430mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fuse Current"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fuse Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.03mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Diameter"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2.7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Current Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max DC Current"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Forward Surge Current (Ifsm)"; Value = "5.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Repetitive Reverse Voltage (Vrrm)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Reverse Current"; Value = "130uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Reverse Leakage Current"; Value = "130uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Reverse Voltage (DC)"; Value = "30V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Surge Current"; Value = "5.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Lines"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "500mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Non-Repetitive Surge Current"; Value = "5.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarity"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0,34400, 10=0,23900, 100=0,12200, 500=0,10000 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "Filter components.SchLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "9"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = ""; VariantName = "[No Variations]"
