Change Footprint: Footprint Not Found WCAP-CSGP_1210_L3.2W2.5H2.5
Change Footprint: Footprint Not Found WCAP-CSGP_1210_L3.2W2.5H2.5
Change Component Comment : Designator=L901 Old Comment=4.7µH, 1.82A New Comment=22µH, 1A
Change component parameters: Designator = "L901" ("L901"); Footprint = "WE-PD2_4532"; UniqueID = "\NGWAYQBA\RCMUQREO" ("\NGWAYQBA\RCMUQREO")
Change component parameters (AddParameter): Name = "Case/Size Code"; Value = "4532"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Unshielded Power Inductors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Website Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.we-online.com/redexpert/article/744773122?ad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.we-online.com/redexpert/spec/744773122?ad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance"; Value = "0.261O"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance Max"; Value = "0.37O"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "3.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "22µH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "4.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Wurth Elektronik"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "744773122"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Match Code"; Value = "WE-PD2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Max"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Min"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Current"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Saturation Current"; Value = "1.22A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Self Resonant Frequency"; Value = "20MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "4mm"; VariantName = "[No Variations]"
